School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2019-20,School Type [Public School] 2019-20,Charter School [Public School] 2019-20,Magnet School [Public School] 2019-20,Shared Time School [Public School] 2019-20,Urban-centric Locale [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2019-20,Full-Time Equivalent (FTE) Teachers [Public School] 2019-20,Pupil/Teacher Ratio [Public School] 2019-20,Lowest Grade Offered [Public School] 2019-20,Highest Grade Offered [Public School] 2019-20,School Level (SY 2017-18 onward) [Public School] 2019-20
MORRIS PLAINS BOROUGH SCHOOL,New Jersey,NJ ,3.41077E+11,Morris Plains School District,1-Regular school,2-No,†,2-No,21-Suburb: Large,383,40.55,9.45,3rd Grade,8th Grade,Middle
MORRIS REGIONAL SCHOOL,New Jersey,NJ ,3.40009E+11,OFFICE OF EDUCATION DEPARTMENT OF CHILDREN AND FAMILIES,4-Alternative/other school,2-No,–,–,21-Suburb: Large,7,–,†,10th Grade,12th Grade,High
MORRIS ROBERT SCH,Pennsylvania,PA ,4.21899E+11,Philadelphia City SD,1-Regular school,2-No,2-No,2-No,11-City: Large,237,16.94,13.99,Prekindergarten,8th Grade,Elementary
MORRIS SCHOTT ELEMENTARY,Washington,WA ,5.30936E+11,Wahluke School District,1-Regular school,2-No,2-No,–,41-Rural: Fringe,243,18.06,13.46,Kindergarten,5th Grade,Elementary
MORRIS SLINGLUFF ELEMENTARY SCHOOL,Alabama,AL ,010123001449,Dothan City,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,330,22,15,Kindergarten,6th Grade,Elementary
MORRIS STREET SCHOOL,Connecticut,CT ,090102000156,Danbury School District,1-Regular school,2-No,2-No,2-No,13-City: Small,334,24.4,13.69,Kindergarten,5th Grade,Elementary
MORRIS SUNSET EAST HIGH SCHOOL,Nevada,NV ,3.20006E+11,CLARK COUNTY SCHOOL DISTRICT,4-Alternative/other school,2-No,2-No,2-No,11-City: Large,83,–,†,9th Grade,12th Grade,High
MORRIS UPCHURCH MIDDLE,Texas,TX ,4.83621E+11,QUEEN CITY ISD,1-Regular school,2-No,2-No,–,32-Town: Distant,299,27.51,10.87,5th Grade,8th Grade,Middle
MORRISH ELEMENTARY SCHOOL,Michigan,MI ,2.63342E+11,Swartz Creek Community Schools,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,462,23.2,19.91,Kindergarten,5th Grade,Elementary
MORRISON ACADEMIC ADVANCEMENT CTR,Mississippi,MS ,2.80219E+11,JACKSON PUBLIC SCHOOL DISTRICT,4-Alternative/other school,2-No,2-No,1-Yes,12-City: Mid-size,0,0.00,†,1st Grade,7th Grade,Elementary
MORRISON ALT LEARNING PROGRAM,ILLINOIS,IL ,1.7002E+11,Lee/Ogle/Whiteside ROE,4-Alternative/other school,2-No,2-No,2-No,32-Town: Distant,4,–,†,9th Grade,12th Grade,High
MORRISON ANDREW J SCH,Pennsylvania,PA ,4.21899E+11,Philadelphia City SD,1-Regular school,2-No,2-No,2-No,11-City: Large,688,45.94,14.98,Kindergarten,8th Grade,Elementary
MORRISON ELEMENTARY,Tennessee,TN ,4.70435E+11,Warren County,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,411,27.1,15.17,Prekindergarten,8th Grade,Elementary
MORRISON ELEMENTARY SCHOOL,Ohio,OH ,3.90435E+11,Athens City,1-Regular school,2-No,–,2-No,32-Town: Distant,396,30,13.2,Kindergarten,6th Grade,Elementary
MORRISON ES,Oklahoma,OK ,4.02034E+11,MORRISON,1-Regular school,2-No,†,2-No,42-Rural: Distant,334,21.49,15.54,Prekindergarten,6th Grade,Elementary
MORRISON HIGH SCHOOL,Illinois,IL ,1.72671E+11,Morrison CUSD 6,1-Regular school,2-No,2-No,2-No,32-Town: Distant,289,22.05,13.11,9th Grade,12th Grade,High
MORRISON HS,Oklahoma,OK ,4.02034E+11,MORRISON,1-Regular school,2-No,†,2-No,42-Rural: Distant,172,11.88,14.48,9th Grade,12th Grade,High
MORRISON JR HIGH SCHOOL,Illinois,IL ,1.72671E+11,Morrison CUSD 6,1-Regular school,2-No,2-No,2-No,32-Town: Distant,237,15.96,14.85,6th Grade,8th Grade,Middle
MORRISON MS,Oklahoma,OK ,4.02034E+11,MORRISON,1-Regular school,2-No,†,2-No,42-Rural: Distant,79,5.95,13.28,7th Grade,8th Grade,Middle
MORRISONVILLE ELEM SCHOOL,Illinois,IL ,1.72676E+11,Morrisonville CUSD 1,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,167,11.5,14.52,Prekindergarten,6th Grade,Elementary
MORRISONVILLE ELEMENTARY SCHOOL,New York,NY ,3.60001E+11,SARANAC CENTRAL SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,32-Town: Distant,368,29,12.69,Prekindergarten,5th Grade,Elementary
MORRISONVILLE HIGH SCHOOL,Illinois,IL ,1.72676E+11,Morrisonville CUSD 1,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,87,8.75,9.94,9th Grade,12th Grade,High
MORRISONVILLE JR HIGH SCHOOL,Illinois,IL ,1.72676E+11,Morrisonville CUSD 1,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,39,5.25,7.43,7th Grade,8th Grade,Middle
MORRISTOWN CENTRAL SCHOOL,New York,NY ,3.61989E+11,MORRISTOWN CENTRAL SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,333,34,9.79,Prekindergarten,12th Grade,Other
MORRISTOWN EAST HIGH,Tennessee,TN ,4.7E+11,Hamblen County,1-Regular school,2-No,2-No,2-No,13-City: Small,1561,91,17.15,9th Grade,12th Grade,High
MORRISTOWN ELEMENTARY,Minnesota,MN ,2.70001E+11,WATERVILLE-ELYSIAN-MORRISTOWN,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,141,8.89,15.86,5th Grade,6th Grade,Middle
MORRISTOWN ELEMENTARY SCHOOL,VERMONT,VT ,5.00045E+11,Lamoille South Unified Union School District #90,1-Regular school,†,2-No,2-No,42-Rural: Distant,335,27.6,12.14,Prekindergarten,4th Grade,Elementary
MORRISTOWN ELEMENTARY SCHOOL,Arizona,AZ ,040534000442,Morristown Elementary District (4251),1-Regular school,2-No,–,2-No,42-Rural: Distant,101,7,14.43,Prekindergarten,8th Grade,Elementary
MORRISTOWN ELEMENTARY SCHOOL,Indiana,IN ,1.80321E+11,Shelby Eastern Schools,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,285,14.23,20.03,Prekindergarten,5th Grade,Elementary
MORRISTOWN HIGH SCHOOL,New Jersey,NJ ,3.41081E+11,Morris School District,1-Regular school,2-No,†,2-No,21-Suburb: Large,1886,134.5,14.02,9th Grade,12th Grade,High
MORRISTOWN JR-SR HIGH SCHOOL,Indiana,IN ,1.80321E+11,Shelby Eastern Schools,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,318,25.3,12.57,6th Grade,12th Grade,High
MORRISTOWN WEST HIGH,Tennessee,TN ,4.7E+11,Hamblen County,1-Regular school,2-No,2-No,2-No,13-City: Small,1479,87,17,9th Grade,12th Grade,High
MORRISVILLE ELEMENTARY,North Carolina,NC ,3.70472E+11,Wake County Schools,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,729,44.99,16.2,Kindergarten,5th Grade,Elementary
MORRISVILLE HS,PENNSYLVANIA,PA ,4.2159E+11,Morrisville Borough SD,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,436,33.6,12.98,6th Grade,12th Grade,High
MORRISVILLE INTERMEDIATE SCH,PENNSYLVANIA,PA ,4.2159E+11,Morrisville Borough SD,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,201,14.8,13.58,3rd Grade,5th Grade,Elementary
MORRISVILLE MIDDLE SCHOOL HIGH SCHOOL,New York,NY ,3.61992E+11,MORRISVILLE-EATON CENTRAL SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,340,33.88,10.04,6th Grade,12th Grade,High
MORRO BAY HIGH,California,CA ,063480005875,San Luis Coastal Unified,1-Regular school,2-No,2-No,–,31-Town: Fringe,841,–,†,9th Grade,12th Grade,High
MORROW EDUCATION CENTER,OREGON,OR ,4.10852E+11,Morrow SD 1,4-Alternative/other school,2-No,†,–,32-Town: Distant,54,3,18,Kindergarten,12th Grade,Other
MORROW EL SCH,Pennsylvania,PA ,4.22355E+11,Towanda Area SD,1-Regular school,2-No,2-No,2-No,32-Town: Distant,373,24.1,15.48,Prekindergarten,2nd Grade,Elementary
MORROW ELEMENTARY SCHOOL,Georgia,GA ,1.30123E+11,Clayton County,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,542,35,15.49,Prekindergarten,5th Grade,Elementary
MORROW ELEMENTARY SCHOOL,Florida,FL ,1.20018E+11,BROWARD,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,517,33,15.67,Prekindergarten,5th Grade,Elementary
MORROW HIGH SCHOOL,Georgia,GA ,1.30123E+11,Clayton County,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1793,89.3,20.08,9th Grade,12th Grade,High
MORROW MIDDLE SCHOOL,Georgia,GA ,1.30123E+11,Clayton County,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,961,56.5,17.01,6th Grade,8th Grade,Middle
MORSE,Massachusetts,MA ,2.50327E+11,Cambridge,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,326,34.84,9.36,Prekindergarten,5th Grade,Elementary
MORSE ELEMENTARY,California,CA ,063066004766,Placentia-Yorba Linda Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,444,–,†,Kindergarten,6th Grade,Elementary
MORSE ELEMENTARY,Kansas,KS ,2.012E+11,Blue Valley,1-Regular school,2-No,2-No,–,12-City: Mid-size,387,28,13.82,Kindergarten,5th Grade,Elementary
MORSE ELEMENTARY SCHOOL,Michigan,MI ,2.63426E+11,Troy School District,1-Regular school,2-No,2-No,2-No,13-City: Small,467,31.6,14.78,Kindergarten,5th Grade,Elementary
MORSE ELEMENTARY SCHOOL,Louisiana,LA ,2.20003E+11,Acadia Parish,1-Regular school,2-No,2-No,–,42-Rural: Distant,200,10,20,Prekindergarten,7th Grade,Elementary
MORSE HIGH,California,CA ,063432005526,San Diego Unified,1-Regular school,2-No,2-No,–,11-City: Large,1744,–,†,9th Grade,12th Grade,High
MORSE HIGH SCHOOL,Maine,ME ,2.31477E+11,RSU 01 - LKRSU,1-Regular school,2-No,2-No,2-No,31-Town: Fringe,583,41.7,13.98,9th Grade,12th Grade,High
MORSE MEMORIAL SCHOOL,Maine,ME ,2.31152E+11,RSU 03/MSAD 03,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,111,10.81,10.27,Prekindergarten,5th Grade,Elementary
MORSE MID,Wisconsin,WI ,5.5096E+11,Milwaukee School District,1-Regular school,2-No,2-No,2-No,11-City: Large,430,18.5,23.24,6th Grade,8th Grade,Middle
MORSE POND SCHOOL,Massachusetts,MA ,2.50486E+11,Falmouth,1-Regular school,2-No,2-No,2-No,22-Suburb: Mid-size,549,46.3,11.86,5th Grade,6th Grade,Middle
MORSE SCHOOL,New York,NY ,3.6258E+11,SAUGERTIES CENTRAL SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,321,27,11.89,Prekindergarten,6th Grade,Elementary
MORSE STREET SCHOOL,Maine,ME ,2.31479E+11,RSU 05,1-Regular school,2-No,2-No,2-No,22-Suburb: Mid-size,309,23.71,13.03,Prekindergarten,2nd Grade,Elementary
MORSE YOUNG MAGNET SCHOOL,New York,NY ,3.62376E+11,POUGHKEEPSIE CITY SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,13-City: Small,557,45,12.38,Prekindergarten,6th Grade,Elementary
MORT ELEMENTARY SCHOOL,Florida,FL ,1.20087E+11,HILLSBOROUGH,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,975,58,16.81,Prekindergarten,5th Grade,Elementary
MORTENSEN ELEMENTARY SCHOOL,Colorado,CO ,080480000991,Jefferson County School District No. R-1,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,369,26.14,14.12,Prekindergarten,5th Grade,Elementary
MORTIMER JORDAN HIGH SCHOOL,Alabama,AL ,010192000728,Jefferson County,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,801,43,18.63,9th Grade,12th Grade,High
MORTIMER Y SUTHERLAND MIDDLE,Virginia,VA ,5.10009E+11,ALBEMARLE CO PBLC SCHS,1-Regular school,2-No,2-No,2-No,23-Suburb: Small,596,39.08,15.25,6th Grade,8th Grade,Middle
MORTON ACADEMY,ILLINOIS,IL ,1.7268E+11,Morton CUSD 709,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,15,3,5,Kindergarten,12th Grade,Other
MORTON ALTERNATIVE SCHOOLS,Illinois,IL ,1.70022E+11,Region 06 West Cook ISC 2,4-Alternative/other school,2-No,2-No,2-No,21-Suburb: Large,36,–,†,9th Grade,12th Grade,High
MORTON EL,Texas,TX ,4.8087E+11,ARLINGTON ISD,1-Regular school,2-No,2-No,–,11-City: Large,487,36.28,13.42,Prekindergarten,6th Grade,Elementary
MORTON ELEM CAREER ACADEMY,Illinois,IL ,1.70993E+11,City of Chicago SD 299,1-Regular school,2-No,2-No,2-No,11-City: Large,231,22,10.5,Prekindergarten,8th Grade,Elementary
MORTON ELEMENTARY,North Carolina,NC ,3.70345E+11,Onslow County Schools,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,714,46,15.52,Prekindergarten,5th Grade,Elementary
MORTON ELEMENTARY SCHOOL,Mississippi,MS ,2.8039E+11,SCOTT CO SCHOOL DIST,1-Regular school,2-No,2-No,2-No,32-Town: Distant,694,42.57,16.3,Kindergarten,4th Grade,Elementary
MORTON ELEMENTARY SCHOOL,Michigan,MI ,2.62304E+11,Marysville Public Schools,1-Regular school,2-No,2-No,2-No,23-Suburb: Small,318,17.3,18.38,Prekindergarten,5th Grade,Elementary
MORTON ELEMENTARY SCHOOL,Indiana,IN ,1.80432E+11,School City of Hammond,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,490,27,18.15,Prekindergarten,5th Grade,Elementary
MORTON ELEMENTARY SCHOOL,Nebraska,NE ,3.17281E+11,LEXINGTON PUBLIC SCHOOLS,1-Regular school,†,†,2-No,33-Town: Remote,305,24.3,12.55,Prekindergarten,1st Grade,Elementary
MORTON ELEMENTARY SCHOOL,Colorado,CO ,080612001058,Pueblo School District No. 60 in the county of Pueblo and,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,441,26.11,16.89,Kindergarten,5th Grade,Elementary
MORTON ELEMENTARY SCHOOL,Washington,WA ,5.30519E+11,Morton School District,1-Regular school,2-No,2-No,–,43-Rural: Remote,198,10.26,19.3,Prekindergarten,6th Grade,Elementary
MORTON GINGERWOOD ELEM SCHOOL,Illinois,IL ,1.70393E+11,Arbor Park SD 145,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,228,19,12,Kindergarten,2nd Grade,Elementary
MORTON HIGH SCHOOL,Mississippi,MS ,2.8039E+11,SCOTT CO SCHOOL DIST,1-Regular school,2-No,2-No,2-No,32-Town: Distant,449,28.31,15.86,9th Grade,12th Grade,High
MORTON HIGH SCHOOL,Illinois,IL ,1.7268E+11,Morton CUSD 709,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,963,63.46,15.17,9th Grade,12th Grade,High
MORTON JR HIGH SCHOOL,Illinois,IL ,1.7268E+11,Morton CUSD 709,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,506,37.16,13.62,7th Grade,8th Grade,Middle
MORTON JUNIOR-SENIOR HIGH,Washington,WA ,5.30519E+11,Morton School District,1-Regular school,2-No,2-No,–,43-Rural: Remote,171,12.37,13.82,7th Grade,12th Grade,High
MORTON MAGNET MIDDLE SCHOOL,Nebraska,NE ,3.17482E+11,OMAHA PUBLIC SCHOOLS,1-Regular school,†,†,2-No,11-City: Large,749,54.15,13.83,6th Grade,8th Grade,Middle
MORTON MIDDLE,Massachusetts,MA ,2.50483E+11,Fall River,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,625,45.7,13.68,6th Grade,8th Grade,Middle
MORTON MIDDLE SCHOOL,Kentucky,KY ,2.10186E+11,Fayette County,1-Regular school,2-No,2-No,2-No,11-City: Large,800,50.4,15.87,6th Grade,8th Grade,Middle
MORTON MIDDLE SCHOOL,Ohio,OH ,3.9045E+11,Vandalia-Butler City,1-Regular school,2-No,–,2-No,41-Rural: Fringe,702,40.4,17.38,6th Grade,9th Grade,Middle
MORTON RANCH EL,Texas,TX ,4.82517E+11,KATY ISD,1-Regular school,2-No,2-No,–,21-Suburb: Large,948,76.79,12.35,Prekindergarten,5th Grade,Elementary
MORTON RANCH H S,Texas,TX ,4.82517E+11,KATY ISD,1-Regular school,2-No,2-No,–,21-Suburb: Large,2545,177.68,14.32,9th Grade,12th Grade,High
MORTON RANCH J H,Texas,TX ,4.82517E+11,KATY ISD,1-Regular school,2-No,2-No,–,21-Suburb: Large,1187,82.11,14.46,6th Grade,8th Grade,Middle
MORTON SCHOOL,Nebraska,NE ,3.10015E+11,MORTON SCHOOL,4-Alternative/other school,†,†,2-No,11-City: Large,0,3,0.00,†,†,Not Applicable
MORTON SCHOOL,Texas,TX ,4.83147E+11,MORTON ISD,1-Regular school,2-No,2-No,–,43-Rural: Remote,394,36.86,10.69,Prekindergarten,12th Grade,Other
MORTON SENIOR HIGH SCHOOL,Indiana,IN ,1.80432E+11,School City of Hammond,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1240,61,20.33,9th Grade,12th Grade,High
MORTON THOMAS G SCH,Pennsylvania,PA ,4.21899E+11,Philadelphia City SD,1-Regular school,2-No,2-No,2-No,11-City: Large,526,31.5,16.7,Kindergarten,5th Grade,Elementary
MORVEN ELEMENTARY,North Carolina,NC ,3.70018E+11,Anson County Schools,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,187,12.56,14.89,Kindergarten,5th Grade,Elementary
MOSAIC ACADEMY CHARTER,New Mexico,NM ,3.50015E+11,AZTEC MUNICIPAL SCHOOLS,1-Regular school,1-Yes,2-No,2-No,31-Town: Fringe,180,10.68,16.85,Kindergarten,8th Grade,Elementary
MOSAIC DIGITAL ACADEMY (ST. LUCIE VIRTUAL FRANCHISE),FLORIDA,FL ,1.20177E+11,ST. LUCIE,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,131,6,21.83,Kindergarten,12th Grade,Other
MOSAIC DIGITAL ACADEMY PT ST. LUCIE VIRTUAL INSTRUC (COURSE,Florida,FL ,1.20177E+11,ST. LUCIE,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,0,0.00,†,Kindergarten,12th Grade,Other
MOSAIC ELEMENTARY,MISSOURI,MO ,2.92067E+11,MEHLVILLE R-IX,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,254,16.59,15.31,Kindergarten,5th Grade,Elementary
MOSAIC HOME EDUCATION PARTNERSHIP,Washington,WA ,5.30033E+11,Bainbridge Island School District,4-Alternative/other school,2-No,2-No,–,22-Suburb: Mid-size,52,2.21,23.53,Kindergarten,8th Grade,Elementary
MOSAIC PREPARATORY ACADEMY,New York,NY ,3.60008E+11,NEW YORK CITY GEOGRAPHIC DISTRICT # 4,1-Regular school,2-No,2-No,2-No,11-City: Large,255,21,12.14,Prekindergarten,5th Grade,Elementary
MOSAIC SCHOOL,Michigan,MI ,2.60956E+11,Chippewa Hills School District,4-Alternative/other school,2-No,2-No,2-No,43-Rural: Remote,93,4,23.25,7th Grade,12th Grade,High
MOSAICS PUBLIC SCHOOL,IDAHO,ID ,1.60019E+11,MOSAICS PUBLIC SCHOOL INC.,1-Regular school,1-Yes,†,†,41-Rural: Fringe,†,†,†,–,–,Not Reported
MOSBY WOODS ELEM,Virginia,VA ,5.10126E+11,FAIRFAX CO PBLC SCHS,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1041,62.75,16.59,Prekindergarten,6th Grade,Elementary
MOSCONE (GEORGE R.) ELEMENTARY,California,CA ,063441005615,San Francisco Unified,1-Regular school,2-No,2-No,–,11-City: Large,386,–,†,Kindergarten,5th Grade,Elementary
MOSCOW CHARTER SCHOOL,Idaho,ID ,1.60222E+11,MOSCOW DISTRICT,1-Regular school,1-Yes,2-No,2-No,32-Town: Distant,184,11.01,16.71,Kindergarten,8th Grade,Elementary
MOSCOW EL SCH,Pennsylvania,PA ,4.21731E+11,North Pocono SD,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,574,43.7,13.14,Kindergarten,3rd Grade,Elementary
MOSCOW ELEM,Kansas,KS ,2.00972E+11,Moscow Public Schools,1-Regular school,2-No,2-No,–,43-Rural: Remote,78,8.1,9.63,Prekindergarten,5th Grade,Elementary
MOSCOW ELEMENTARY,MAINE,ME ,2.31065E+11,RSU 83/MSAD 13,1-Regular school,2-No,2-No,2-No,43-Rural: Remote,74,7.32,10.11,Prekindergarten,4th Grade,Elementary
MOSCOW HIGH,Kansas,KS ,2.00972E+11,Moscow Public Schools,1-Regular school,2-No,2-No,–,43-Rural: Remote,86,9.1,9.45,6th Grade,12th Grade,High
MOSCOW HIGH SCHOOL,Idaho,ID ,1.60222E+11,MOSCOW DISTRICT,1-Regular school,2-No,2-No,2-No,32-Town: Distant,724,42.33,17.1,9th Grade,12th Grade,High
MOSCOW MIDDLE SCHOOL,Idaho,ID ,1.60222E+11,MOSCOW DISTRICT,1-Regular school,2-No,2-No,2-No,32-Town: Distant,545,34.49,15.8,6th Grade,8th Grade,Middle
MOSELEY PUBLIC SCHOOL,Oklahoma,OK ,4.02043E+11,MOSELEY,1-Regular school,2-No,†,2-No,41-Rural: Fringe,162,14.22,11.39,Prekindergarten,8th Grade,Elementary
MOSELLE ELEMENTARY SCHOOL,Mississippi,MS ,2.80228E+11,JONES CO SCHOOL DIST,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,571,43.29,13.19,Prekindergarten,6th Grade,Elementary
MOSER SCHOOL,CONNECTICUT,CT ,090384001936,Rocky Hill School District,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,474,33.8,14.02,4th Grade,5th Grade,Elementary
MOSES DEWITT ELEMENTARY SCHOOL,New York,NY ,3.60909E+11,JAMESVILLE-DEWITT CENTRAL SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,260,22,11.82,Kindergarten,4th Grade,Elementary
MOSES FIELD CENTER,MICHIGAN,MI ,2.6011E+11,Detroit Public Schools Community District,2-Special education school,2-No,2-No,2-No,11-City: Large,74,13,5.69,Prekindergarten,8th Grade,Elementary
MOSES LAKE BIG PICTURE,WASHINGTON,WA ,5.30522E+11,Moses Lake School District,4-Alternative/other school,2-No,1-Yes,–,33-Town: Remote,6,–,†,9th Grade,12th Grade,High
MOSES LAKE HIGH SCHOOL,Washington,WA ,5.30522E+11,Moses Lake School District,1-Regular school,2-No,2-No,–,33-Town: Remote,2385,94,25.37,9th Grade,12th Grade,High
MOSES MCKISSACK MIDDLE,Tennessee,TN ,4.70318E+11,Davidson County,1-Regular school,2-No,2-No,2-No,11-City: Large,294,24,12.25,5th Grade,8th Grade,Middle
MOSES Y. BEACH SCHOOL,Connecticut,CT ,090474000957,Wallingford School District,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,323,28.25,11.43,Prekindergarten,2nd Grade,Elementary
MOSHANNON VALLEY EL SCH,Pennsylvania,PA ,4.21596E+11,Moshannon Valley SD,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,429,36.38,11.79,Kindergarten,6th Grade,Elementary
MOSHANNON VALLEY JSHS,Pennsylvania,PA ,4.21596E+11,Moshannon Valley SD,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,403,29.53,13.65,7th Grade,12th Grade,High
MOSHEIM ELEMENTARY,Tennessee,TN ,4.70147E+11,Greene County,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,1016,56.9,17.86,Prekindergarten,8th Grade,Elementary
MOSIER,Massachusetts,MA ,2.51092E+11,South Hadley,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,419,27,15.52,2nd Grade,4th Grade,Elementary
MOSIER COMMUNITY SCHOOL,Oregon,OR ,4.10005E+11,North Wasco County SD 21,1-Regular school,1-Yes,†,–,42-Rural: Distant,196,12.66,15.48,Kindergarten,8th Grade,Elementary
MOSINEE ELEMENTARY,Wisconsin,WI ,5.50996E+11,Mosinee School District,1-Regular school,2-No,2-No,2-No,23-Suburb: Small,650,42.54,15.28,Prekindergarten,3rd Grade,Elementary
MOSINEE HIGH,Wisconsin,WI ,5.50996E+11,Mosinee School District,1-Regular school,2-No,2-No,2-No,23-Suburb: Small,604,45.16,13.37,9th Grade,12th Grade,High
MOSINEE MIDDLE,Wisconsin,WI ,5.50996E+11,Mosinee School District,1-Regular school,2-No,2-No,2-No,23-Suburb: Small,701,48.75,14.38,4th Grade,8th Grade,Middle
MOSQUERO ELEMENTARY,New Mexico,NM ,3.50192E+11,MOSQUERO MUNICIPAL SCHOOLS,1-Regular school,2-No,2-No,2-No,43-Rural: Remote,46,4.62,9.96,Prekindergarten,6th Grade,Elementary
MOSQUERO HIGH,New Mexico,NM ,3.50192E+11,MOSQUERO MUNICIPAL SCHOOLS,1-Regular school,2-No,2-No,2-No,43-Rural: Remote,36,4.38,8.22,7th Grade,12th Grade,High
MOSS AGATE ELEMENTARY,Wyoming,WY ,5.60214E+11,Converse County School District #1,1-Regular school,2-No,†,2-No,43-Rural: Remote,8,1.37,5.84,Kindergarten,8th Grade,Elementary
MOSS BLUFF ELEMENTARY SCHOOL,Louisiana,LA ,2.20033E+11,Calcasieu Parish,1-Regular school,2-No,2-No,–,41-Rural: Fringe,960,49.37,19.45,Prekindergarten,5th Grade,Elementary
MOSS BLUFF MIDDLE SCHOOL,Louisiana,LA ,2.20033E+11,Calcasieu Parish,1-Regular school,2-No,2-No,–,22-Suburb: Mid-size,943,49.52,19.04,6th Grade,8th Grade,Middle
MOSS EL,Texas,TX ,4.8102E+11,BIG SPRING ISD,1-Regular school,2-No,2-No,–,32-Town: Distant,487,29.79,16.35,Kindergarten,2nd Grade,Elementary
MOSS EL,Texas,TX ,4.83039E+11,MESQUITE ISD,1-Regular school,2-No,2-No,–,21-Suburb: Large,393,25.8,15.23,Prekindergarten,5th Grade,Elementary
MOSS ES,Oklahoma,OK ,4.02046E+11,MOSS,1-Regular school,2-No,†,2-No,42-Rural: Distant,195,13.22,14.75,Prekindergarten,8th Grade,Elementary
MOSS HAVEN EL,Texas,TX ,4.83702E+11,RICHARDSON ISD,1-Regular school,2-No,2-No,–,11-City: Large,513,35.85,14.31,Prekindergarten,6th Grade,Elementary
MOSS HILL ELEMENTARY,North Carolina,NC ,3.70261E+11,Lenoir County Public Schools,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,402,29.5,13.63,Kindergarten,5th Grade,Elementary
MOSS HS,Oklahoma,OK ,4.02046E+11,MOSS,1-Regular school,2-No,†,2-No,42-Rural: Distant,70,5.88,11.9,9th Grade,12th Grade,High
MOSS PARK ELEMENTARY,Florida,FL ,1.20144E+11,ORANGE,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1184,73,16.22,Prekindergarten,5th Grade,Elementary
MOSS POINT ALTERNATIVE SCHOOL,Mississippi,MS ,2.803E+11,MOSS POINT SEPARATE SCHOOL DIST,4-Alternative/other school,2-No,2-No,1-Yes,23-Suburb: Small,0,4,0.00,Kindergarten,12th Grade,Other
MOSS POINT CAREER & TECHNICAL EDUCA,Mississippi,MS ,2.803E+11,MOSS POINT SEPARATE SCHOOL DIST,3-Vocational school,2-No,2-No,1-Yes,23-Suburb: Small,0,6.4,0.00,9th Grade,12th Grade,High
